# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
NONREAL     4  1.47927150266878638e+00 -1.69120609367469282e-01  -4.45127272590393974e-01 7.92260218935304183e-01  -4.27206550865854517e-01 1.97446724558886955e-01  6.22136513209316955e-01 -2.30630361102818027e+00
TOTALLY     4  7.31678994096090940e-01 -7.07133583038553769e-62  -1.30372382490126976e-01 8.92168126382305224e-62  -4.91313911103502921e-01 4.33897409310240163e-62  3.05348325675646126e-01 -3.75949750025395739e-62
PARTIAL     4  7.29631842619474891e-01 -6.96635230697190355e-01  7.29631842619474891e-01 6.96635230697190355e-01  1.70823534158712698e+00 -3.24945435144155445e-57  4.40015826217130090e-01 6.63597830012102620e-58
NONREAL     4  6.82953750520487679e-01 2.45996694850769582e-01  -8.43546369844164534e-01 2.69641341797623391e-01  2.31493435091139038e-01 5.78536885548902105e-02  -6.45705767733911640e-01 2.93867112914679318e-01
NONREAL     4  6.82953750520487679e-01 -2.45996694850769582e-01  -8.43546369844164534e-01 -2.69641341797623391e-01  -6.45705767733911640e-01 -2.93867112914679318e-01  2.31493435091139038e-01 -5.78536885548902105e-02
NONREAL     4  1.47927150266878638e+00 1.69120609367469282e-01  -4.45127272590393974e-01 -7.92260218935304183e-01  6.22136513209316955e-01 2.30630361102818027e+00  -4.27206550865854517e-01 -1.97446724558886955e-01
MINIMAL     4  1.98941428794863234e-01 2.69519874679379923e+00  1.98941428794863234e-01 -2.69519874679379923e+00  -6.34934385392222633e-02 6.61934577930718748e-01  -6.34934385392222633e-02 -6.61934577930718748e-01
NONREAL     4  3.63299488421728933e-01 5.50541134623054762e-01  -1.06485486694343456e+00 -3.77604771667468364e-01  1.58497793323244762e-01 6.77120298397012044e-02  -7.10304340995682182e-01 -6.72070800955623771e-01
NONREAL     4  -1.06485486694343456e+00 3.77604771667468364e-01  3.63299488421728933e-01 -5.50541134623054762e-01  -7.10304340995682182e-01 6.72070800955623771e-01  1.58497793323244762e-01 -6.77120298397012044e-02
MINIMAL     4  -6.41706703858256011e-01 1.02429047325738609e+00  -6.41706703858256011e-01 -1.02429047325738609e+00  -4.86891656501614478e-01 5.77553805737767156e-01  -4.86891656501614478e-01 -5.77553805737767156e-01
