# File : Real solutions | TwoReal | ComplexConj
final_parameters_1 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_2 : 1 real | TwoReal: 1 | ComplexConj: 0
final_parameters_3 : 3 real | TwoReal: 3 | ComplexConj: 0
final_parameters_4 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_5 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_6 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_7 : 9 real | TwoReal: 1 | ComplexConj: 0
final_parameters_8 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_9 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_10 : 8 real | TwoReal: 2 | ComplexConj: 0
final_parameters_11 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_12 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_13 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_14 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_15 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_16 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_17 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_18 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_19 : 2 real | TwoReal: 4 | ComplexConj: 0
final_parameters_20 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_21 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_22 : 8 real | TwoReal: 2 | ComplexConj: 0
final_parameters_23 : 3 real | TwoReal: 2 | ComplexConj: 0
final_parameters_24 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_25 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_26 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_27 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_28 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_29 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_30 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_31 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_32 : 3 real | TwoReal: 3 | ComplexConj: 0
final_parameters_33 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_34 : 6 real | TwoReal: 0 | ComplexConj: 0
final_parameters_35 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_36 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_37 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_38 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_39 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_40 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_41 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_42 : 2 real | TwoReal: 2 | ComplexConj: 1
final_parameters_43 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_44 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_45 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_46 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_47 : 3 real | TwoReal: 1 | ComplexConj: 0
final_parameters_48 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_49 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_50 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_51 : 4 real | TwoReal: 2 | ComplexConj: 0
final_parameters_52 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_53 : 3 real | TwoReal: 3 | ComplexConj: 0
final_parameters_54 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_55 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_56 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_57 : 0 real | TwoReal: 2 | ComplexConj: 0
final_parameters_58 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_59 : 6 real | TwoReal: 2 | ComplexConj: 0
final_parameters_60 : 0 real | TwoReal: 4 | ComplexConj: 0
final_parameters_61 : 1 real | TwoReal: 3 | ComplexConj: 0
final_parameters_62 : 5 real | TwoReal: 1 | ComplexConj: 0
final_parameters_63 : 5 real | TwoReal: 0 | ComplexConj: 1
final_parameters_64 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_65 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_66 : 0 real | TwoReal: 1 | ComplexConj: 1
final_parameters_67 : 2 real | TwoReal: 2 | ComplexConj: 0
final_parameters_68 : 8 real | TwoReal: 2 | ComplexConj: 0
